,filename,height,width
0,06_4_0447.png,190,207
1,08_4_0298.png,163,108
2,13_0_0315.png,140,75
3,17_4_0417.png,178,83
4,24_4_0425.png,145,139
5,23_3_0188.png,171,98
6,10_2_0193.png,144,94
7,05_1_0010.png,140,72
8,15_2_0220.png,80,98
9,01_2_0437.png,147,85
10,24_4_0338.png,136,130
11,07_0_0257.png,122,136
12,24_0_0206.png,134,102
13,01_2_0164.png,134,79
14,12_3_0321.png,171,87
15,22_1_0460.png,147,83
16,12_3_0106.png,149,82
17,10_1_0092.png,153,105
18,00_2_0263.png,123,82
19,12_0_0425.png,136,66
20,11_3_0221.png,171,116
21,02_3_0139.png,154,96
22,18_0_0508.png,166,128
23,20_0_0129.png,196,105
24,14_3_0365.png,166,93
25,24_3_0511.png,163,147
26,11_0_0495.png,187,184
27,05_2_0359.png,132,94
28,03_0_0202.png,155,139
29,22_4_0269.png,139,86
30,24_2_0364.png,111,88
31,08_1_0461.png,191,171
32,01_3_0152.png,137,81
33,00_3_0189.png,126,135
34,01_4_0034.png,151,72
35,02_4_0390.png,148,96
36,18_3_0426.png,148,86
37,13_0_0306.png,159,85
38,00_0_0093.png,122,113
39,14_2_0122.png,124,96
40,12_2_0380.png,125,82
41,11_0_0074.png,123,145
42,20_2_0038.png,136,64
43,16_0_0138.png,125,148
44,14_0_0469.png,124,123
45,02_0_0182.png,142,163
46,18_4_0356.png,141,78
47,20_3_0379.png,167,79
48,19_2_0332.png,126,68
49,23_3_0378.png,145,75
50,20_1_0090.png,147,71
51,16_2_0085.png,66,88
52,16_0_0136.png,117,145
53,04_4_0222.png,171,96
54,01_0_0155.png,136,66
55,14_0_0065.png,147,108
56,01_3_0205.png,134,81
57,24_2_0109.png,122,129
58,12_1_0031.png,157,92
59,22_2_0489.png,131,64
60,04_0_0301.png,124,90
61,13_3_0118.png,160,93
62,10_0_0750.png,166,78
63,06_0_0202.png,78,131
64,18_1_0052.png,121,98
65,19_1_0068.png,136,95
66,10_3_0513.png,172,88
67,20_4_0379.png,180,86
68,14_1_0300.png,120,138
69,07_4_0325.png,161,170
70,24_0_0139.png,145,110
71,16_3_0056.png,155,91
72,14_3_0295.png,157,118
73,10_3_0303.png,167,129
74,05_2_0350.png,150,103
75,03_4_0158.png,192,91
76,07_2_0086.png,111,136
77,21_2_0065.png,142,66
78,16_1_0178.png,99,158
79,15_4_0057.png,94,98
80,23_3_0118.png,171,105
81,07_3_0435.png,144,181
82,06_1_0468.png,115,150
83,21_2_0498.png,148,68
84,02_3_0366.png,154,90
85,06_0_0291.png,101,159
86,13_1_0401.png,141,93
87,13_4_0344.png,173,130
88,22_3_0198.png,151,97
89,14_3_0292.png,164,131
90,11_0_0447.png,171,157
91,13_0_0318.png,136,70
92,24_3_0299.png,168,143
93,19_4_0253.png,142,84
94,07_1_0497.png,121,165
95,17_0_0093.png,160,92
96,15_1_0247.png,120,147
97,07_2_0382.png,112,156
98,14_1_0361.png,125,114
99,24_1_0181.png,130,108
100,07_1_0202.png,130,175
101,24_4_0374.png,137,138
102,10_4_0196.png,175,145
103,13_4_0382.png,119,76
104,07_4_0430.png,162,169
105,19_4_0097.png,145,87
106,22_2_0431.png,134,66
107,01_2_0072.png,133,76
108,10_2_0126.png,133,108
109,21_1_0525.png,171,79
110,00_4_0158.png,149,86
111,11_4_0105.png,152,123
112,16_0_0031.png,131,149
113,01_3_0478.png,129,80
114,03_4_0401.png,191,91
115,11_0_0352.png,163,166
116,03_3_0280.png,191,89
117,00_2_0029.png,126,100
118,24_4_0232.png,155,156
119,07_2_0399.png,114,157
120,11_3_0274.png,208,145
